CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
267.03,9.08,78.68,0.92,1.97,3.13,Loveland,109
263.69,11.48,87.98,1.25,5.24,11.23,Boynton Beach,132
277.04,11.65,84.4,2.53,5.62,9.76,Plano,123
270.37,5.14,59.37,0.1,0.93,1.46,Hillsboro,51
253.68,3.26,98.71,0.82,5.94,12.63,Port Saint Lucie,159
270.37,8.31,63.66,1.82,0.72,1.12,Federal Way,64
240.33,2.83,80.11,0.87,4.24,11.04,Harlingen,112
654.22,65.12,0.15,0.86,18.86,25.3,Cary,81
400.54,31.19,42.92,1.97,7.15,12.99,Dale City,38
343.8,15.25,40.05,1.51,18.84,22.61,Topeka,56
821.11,84.31,0.28,7.09,14.89,21.95,Bellflower,102
343.8,23.65,41.84,1.39,3.27,4.96,Brentwood,35
327.11,9.51,114.44,5.42,21.28,24.11,Antioch,198
453.95,36.67,32.19,0.97,15.1,18.84,Tampa,49
216.96,2.23,69.38,0.75,3.01,5.01,Plymouth,82
337.12,27.42,38.27,0.25,2.69,3.71,Sparks,34
273.71,7.63,55.79,0.75,2.73,4.45,Bismarck,47
1161.58,122.01,0.0,20.27,52.32,70.51,Passaic,123
534.06,44.55,10.55,0.51,21.87,26.89,Greensboro,62
186.92,0.38,38.62,0.24,1.37,2.0,Guaynabo,32
297.07,8.4,57.22,1.01,0.55,2.55,Vancouver,48
373.84,17.31,37.55,0.64,17.97,20.99,Appleton,55
230.31,2.74,78.68,0.12,1.61,3.95,Rapid City,109
283.72,16.11,74.39,1.97,6.35,13.83,Kendall,98
297.07,6.68,95.84,1.61,18.87,21.03,Tulsa,152
387.19,26.39,55.08,1.24,7.72,10.86,Bridgeport,46
257.02,6.26,91.55,1.34,5.01,8.83,Grand Prairie,141
330.45,14.91,70.1,0.47,5.96,11.14,Lancaster,84
267.03,11.65,48.64,0.31,1.3,2.88,Tracy,41
188.59,0.69,76.53,0.01,0.5,0.67,Flagstaff,103
440.6,52.09,22.89,2.89,5.43,9.58,Carson,65
403.88,22.96,43.63,0.38,11.27,15.98,Wichita,36
460.63,30.85,30.4,1.13,25.14,30.03,Schaumburg,69
473.98,61.01,13.05,2.44,6.03,10.68,San Leandro,76
260.35,8.57,75.1,4.29,6.95,11.39,Baton Rouge,100
654.22,69.92,0.62,2.86,12.86,19.92,Glendale,87
260.35,8.31,61.51,0.13,1.88,6.04,Casas Adobes,57
243.66,2.57,80.11,0.28,0.5,0.8,Vallejo,112
260.35,7.37,40.05,0.02,0.82,1.82,Camarillo,33
313.76,15.59,81.54,1.91,9.88,11.91,Cincinnati,116
250.34,2.91,78.68,0.59,7.76,11.03,Fayetteville,109
323.77,10.2,82.25,1.97,19.89,21.88,Lansing,118
514.03,44.55,10.55,1.03,24.59,28.21,Peoria,68
357.15,32.9,75.82,6.02,8.3,10.44,Riverside,102
353.81,26.73,44.35,0.95,3.58,5.44,Thousand Oaks,37
357.15,28.45,49.35,1.37,3.42,10.8,Laguna Niguel,41
390.53,28.1,68.67,3.19,12.93,16.3,Menifee,80
293.73,6.6,77.96,1.22,10.95,13.97,Montgomery,107
647.54,87.05,0.66,4.53,14.66,24.24,El Monte,104
313.76,14.57,51.5,0.27,2.31,9.07,San Tan Valley,43
300.41,9.77,91.55,3.61,12.16,14.47,Indianapolis,141
407.22,25.71,27.9,0.59,24.06,28.38,Elgin,67
267.03,6.6,79.39,0.67,8.94,10.23,Cape Coral,110
473.98,61.01,13.05,2.44,6.03,10.68,Hayward,76
270.37,5.14,59.37,0.1,0.93,1.46,Beaverton,51
1842.5,120.64,0.0,16.45,97.49,125.53,New York,168
240.33,11.65,80.11,1.61,4.52,11.13,Sunrise,112
310.42,11.31,49.35,0.38,3.59,4.28,Spokane,41
440.6,52.09,22.89,2.89,5.43,9.58,Hawthorne,65
380.52,24.68,55.08,5.19,18.93,22.76,Saint Louis,57
236.99,2.16,79.39,0.25,0.86,0.98,Waldorf,110
947.95,105.56,0.0,12.76,33.0,52.92,Elizabeth,114
277.04,11.82,82.97,2.44,5.12,9.46,Richardson,119
1455.31,119.27,0.0,12.4,93.6,107.39,Woodbury,166
423.91,30.85,17.7,0.16,22.92,25.85,Green Bay,65
216.96,5.83,60.8,4.05,2.04,2.89,Portsmouth,55
307.08,7.71,86.55,2.41,16.55,17.85,Flint,128
367.17,15.25,64.37,1.36,14.01,16.58,Macon,66
350.48,20.74,71.53,3.7,20.85,24.32,Farmington Hills,89
186.92,0.38,38.62,0.24,1.37,2.0,Bayamón,32
507.36,55.52,21.82,2.09,6.54,11.9,Paradise,69
267.03,4.88,105.86,0.79,2.98,4.01,Indio,177
211.95,1.52,50.07,1.18,0.97,1.41,Melbourne,42
267.03,8.57,89.41,1.45,5.72,9.6,Irving,136
894.55,56.21,0.0,2.56,44.31,51.66,Brooklyn Park,107
277.04,3.64,105.86,2.03,13.91,16.27,Murfreesboro,177
243.66,4.41,82.97,0.69,3.91,9.09,Round Rock,119
514.03,54.84,22.17,2.65,24.4,29.81,Shawnee,68
360.49,20.56,67.23,0.86,4.89,8.56,Chesapeake,75
273.71,9.68,55.79,0.22,2.14,4.16,Merced,47
213.62,1.33,88.69,0.74,21.71,150.61,El Paso,134
383.85,21.25,50.07,1.33,25.28,28.82,Wyoming,69
297.07,15.77,48.64,0.66,2.43,4.37,Stockton,41
350.48,20.74,71.53,3.7,20.85,24.32,Southfield,89
277.04,11.48,83.69,0.97,6.05,10.21,Victorville,121
654.22,69.92,0.62,2.86,12.86,19.92,Los Angeles,87
267.03,9.6,76.53,2.98,5.61,10.25,San Antonio,103
240.33,0.52,98.71,0.52,1.01,3.36,Virginia Beach,159
205.28,1.1,67.95,0.19,3.75,4.18,Toledo,77
440.6,33.93,18.6,1.59,21.03,26.32,Olathe,61
313.76,19.71,52.21,2.65,1.74,2.53,Seattle,44
487.33,47.3,37.91,1.65,11.14,17.51,Brockton,59
310.42,16.11,34.69,0.35,2.06,3.06,Vacaville,29
333.79,26.73,60.08,1.91,8.99,13.15,Kissimmee,53
554.09,64.43,0.67,3.87,19.17,21.15,South Jordan,80
263.69,12.85,70.81,4.65,5.29,12.96,Atascocita,86
774.38,80.2,0.0,1.82,33.85,41.81,Evanston,100
594.14,77.46,8.58,3.13,10.7,17.39,Tempe,96
277.04,8.14,50.07,0.03,0.94,1.61,Bakersfield,42
290.39,15.94,75.82,0.89,5.0,7.79,Lakewood,102
534.06,62.38,26.82,3.87,14.56,19.19,Somerville,77
333.79,26.39,63.66,0.89,3.13,5.77,Chula Vista,64
647.54,74.71,4.07,5.6,20.99,25.53,Camden,93
363.83,16.97,33.98,0.29,12.55,16.13,Youngs,40
400.54,22.96,25.39,0.24,17.32,19.97,Madison,53
821.11,84.31,0.28,7.09,14.89,21.95,Downey,102
507.36,55.52,21.82,2.09,6.54,11.9,Sunrise Manor,69
427.25,26.39,16.99,0.39,20.64,24.97,Lee's Summit,60
236.99,1.61,100.14,0.29,1.34,1.97,Carlsbad,162
397.21,32.9,38.62,1.83,6.83,11.85,Wilmington,41
303.75,16.97,70.1,3.93,4.56,6.88,Turlock,84
330.45,19.19,65.8,2.33,8.52,12.28,Perris,71
1842.5,120.64,0.0,16.45,97.49,125.53,Jersey City,168
297.07,5.48,101.57,1.09,20.5,22.86,Broken Arrow,166
423.91,35.3,48.64,2.18,8.05,11.25,Medford,44
287.06,4.2,83.69,1.46,9.08,14.7,Lake Charles,121
323.77,22.62,26.82,0.97,10.77,13.74,Savannah,34
253.68,2.44,75.82,0.14,0.5,0.79,Anchorage,102
310.42,12.17,87.98,4.65,12.93,15.47,Fishers,132
1161.58,122.01,0.0,20.27,52.32,70.51,Clifton,123
380.52,37.01,30.04,5.07,12.61,17.34,Duluth,46
211.95,2.27,64.37,0.38,5.45,8.62,Homestead,66
397.21,27.42,50.07,1.21,7.31,11.76,Trenton,42
287.06,7.28,73.67,1.54,2.24,3.02,Concord,95
193.6,0.69,86.55,0.78,2.45,12.46,Rio Rancho,128
250.34,2.53,82.97,0.71,6.12,9.15,Palm Coast,119
270.37,2.31,67.23,0.95,5.27,5.73,Odessa,75
203.61,1.61,60.08,0.03,1.58,1.87,San Clemente,53
